mol_id,mol_name,mol_url,mw,alogp,hdon,hacc,ob,caco2,bbb,dl,fasa,halflife,targets
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,[]
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}]"
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,[]
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}]"
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,[]
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}]"
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,[]
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}]"
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,[]
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}]"
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,[]
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}]"
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,[]
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
MOL001454,berberine,https://tcmsp-e.com/molecule.php?qn=1454,336.39,3.45,0,4,36.86,1.24,0.57,0.78,0.19,6.57,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Coagulation factor Xa', 'target_id': '79', 'drugbank_id': '239'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}]"
MOL013352,Obacunone,https://tcmsp-e.com/molecule.php?qn=13352,454.56,2.68,0,7,43.29,0.01,-0.43,0.77,0.31,-13.04,[]
MOL002894,berberrubine,https://tcmsp-e.com/molecule.php?qn=2894,322.36,3.20,1,4,35.74,1.07,0.17,0.73,0.24,6.46,"[{'target_name': 'Nitric oxide synthase, inducible', 'target_id': '3', 'drugbank_id': '7'}, {'target_name': 'Prostaglandin G/H synthase 1', 'target_id': '6', 'drugbank_id': '20'}, {'target_name': 'Potassium voltage-gated channel subfamily H member 2', 'target_id': '37', 'drugbank_id': '101'}, {'target_name': 'Estrogen receptor', 'target_id': '46', 'drugbank_id': '136'}, {'target_name': 'Androgen receptor', 'target_id': '48', 'drugbank_id': '146'}, {'target_name': 'Sodium channel protein type 5 subunit alpha', 'target_id': '70', 'drugbank_id': '220'}, {'target_name': 'Prostaglandin G/H synthase 2', 'target_id': '94', 'drugbank_id': '290'}, {'target_name': 'Nitric-oxide synthase, endothelial', 'target_id': '95', 'drugbank_id': '291'}, {'target_name': 'Retinoic acid receptor RXR-alpha', 'target_id': '158', 'drugbank_id': '459'}, {'target_name': 'mRNA of PKA Catalytic Subunit C-alpha', 'target_id': '699', 'drugbank_id': '6263'}]"
